Title,date,rating,workout_bool,hrs_outside,weather
Connor ’s iPhone,"January 30, 2025",7.5,1,1,Sunny
Connor ’s iPhone,"January 29, 2025",8,1,1,"Partly Cloudy "
Connor ’s iPhone,"January 28, 2025",8.1,1,1,Partly Cloudy
Connor ’s iPhone,"January 27, 2025",7.6,1,1,Cloudy
Connor ’s iPhone,"January 26, 2025",8,1,1,Partly Cloudy
Connor ’s iPhone,"January 25, 2025",7.6,1,1,Sunny
Connor ’s iPhone,"January 24, 2025",8,1,1,Sunny
Connor ’s iPhone,"January 23, 2025",7.7,1,1,Sunny
Connor ’s iPhone,"January 22, 2025",7.9,1,1,Sunny
Connor ’s iPhone,"January 21, 2025",7.6,1,0,Sunny
Connor ’s iPhone,"January 20, 2025",7.9,0,0,Sunny
Connor ’s iPhone,"January 19, 2025",9,1,6,Sunny
Connor ’s iPhone,"January 18, 2025",9,1,6,Snowy
Connor ’s iPhone,"January 17, 2025",8,0,0,Sunny
Connor ’s iPhone,"January 16, 2025",7.7,1,0,Sunny
Connor ’s iPhone,"January 15, 2025",7.8,1,2.5,Sunny
Connor ’s iPhone,"January 14, 2025",6.5,1,0,Cloudy
Connor ’s iPhone,"January 13, 2025",7.5,0,0,Sunny
Connor ’s iPhone,"January 12, 2025",9,0,3,Sunny
Connor ’s iPhone,"January 11, 2025",8.2,0,2,Rainy
Connor ’s iPhone,"January 10, 2025",8,0,3,Partly Cloudy
Connor ’s iPhone,"January 9, 2025",7.7,0,3,"Partly Cloudy "
Connor ’s iPhone,"January 8, 2025",8,0,1,Rainy
Connor ’s iPhone,"January 7, 2025",9,0,4,Sunny
Connor ’s iPhone,"January 6, 2025",8.9,0,5,Partly Cloudy
Connor ’s iPhone,"January 5, 2025",7.5,0,3,Rainy
Connor ’s iPhone,"January 4, 2025",8,0,3,Cloudy
Connor ’s iPhone,"January 3, 2025",7.2,0,0,Cloudy
Connor ’s iPhone,"January 2, 2025",8,1,0,Cloudy
Connor ’s iPhone,"January 1, 2025",7.9,0,0,Cloudy
Connor ’s iPhone,"December 31, 2024",9,1,2,Cloudy
Connor ’s iPhone,"December 30, 2024",7.7,0,0,"Partly Cloudy "
Connor ’s iPhone,"December 29, 2024",7.7,0,0,Rainy
Connor ’s iPhone,"December 28, 2024",7.5,1,0,Cloudy
Connor ’s iPhone,"December 27, 2024",7.9,1,0,"Partly Cloudy "
Connor ’s iPhone,"December 26, 2024",7.8,0,0,Sunny
Connor ’s iPhone,"December 25, 2024",7.3,1,0,Sunny
Connor ’s iPhone,"December 24, 2024",6.5,0,0,Cloudy
Connor ’s iPhone,"December 23, 2024",5.5,1,0,"Partly Cloudy "
Connor ’s iPhone,"December 22, 2024",7.6,0,0,Sunny
Connor ’s iPhone,"December 21, 2024",8.2,0,0,"Partly Cloudy "
Connor ’s iPhone,"December 20, 2024",8,1,0,Cloudy
Connor ’s iPhone,"December 19, 2024",9.2,1,1,Partly Cloudy
Connor ’s iPhone,"December 18, 2024",7.8,1,0,Sunny
Connor ’s iPhone,"December 17, 2024",8,1,4,Sunny
Connor ’s iPhone,"December 15, 2024",7.4,0,2,"Partly Cloudy "
Connor ’s iPhone,"December 14, 2024",9,0,9,Sunny
Connor ’s iPhone,"December 13, 2024",7,1,0,Sunny
Connor ’s iPhone,"December 12, 2024",8,1,0,Sunny
Connor ’s iPhone,"December 11, 2024",7.1,1,0,Rainy
Connor ’s iPhone,"December 10, 2024",7.5,1,0,Rainy
Connor ’s iPhone,"December 9, 2024",7.2,1,0,Rainy
Connor ’s iPhone,"December 8, 2024",8.6,1,6,Snowy
Connor ’s iPhone,"December 7, 2024",8.7,1,6.5,Sunny
Connor ’s iPhone,"December 6, 2024",7.7,0,0,Sunny
Connor ’s iPhone,"December 5, 2024",7.2,1,0,"Snowy "
Connor ’s iPhone,"December 4, 2024",7.8,1,0,Cloudy
Connor ’s iPhone,"December 3, 2024",7.8,1,0,Snowy
Connor ’s iPhone,"December 2, 2024",7.9,1,0,Sunny
Connor ’s iPhone,"December 1, 2024",8,0,1,"Partly Cloudy "
Connor ’s iPhone,"November 30, 2024",8.2,0,3,Sunny
Connor ’s iPhone,"November 29, 2024",8.5,1,2,"Partly Cloudy "
Connor ’s iPhone,"November 28, 2024",8.5,0,0,"Rainy "
Connor ’s iPhone,"November 27, 2024",7.9,1,1,Sunny
Connor ’s iPhone,"November 26, 2024",8,1,1,Rainy
Connor ’s iPhone,"November 25, 2024",7.4,1,0,Sunny
Connor ’s iPhone,"November 24, 2024",7.7,0,0,Sunny
Connor ’s iPhone,"November 22, 2024",7.6,1,0,Rainy
Connor ’s iPhone,"November 21, 2024",7.5,0,0,Rainy
Connor ’s iPhone,"November 20, 2024",8.1,1,0.5,"Partly Cloudy "
Connor ’s iPhone,"November 19, 2024",7.6,1,0,Partly Cloudy
Connor ’s iPhone,"November 18, 2024",7.2,1,0,Partly Cloudy
Connor ’s iPhone,"November 17, 2024",8,0,0,Sunny
Connor ’s iPhone,"November 16, 2024",9,0,1,Sunny
Connor ’s iPhone,"November 15, 2024",8.3,1,0,Sunny
Connor ’s iPhone,"November 14, 2024",7.6,0,0,Sunny
Connor ’s iPhone,"November 13, 2024",7.9,0,0,"Partly Cloudy "
Connor ’s iPhone,"November 12, 2024",7.8,1,0,Cloudy
Connor ’s iPhone,"November 11, 2024",7.3,1,0,Cloudy
Connor ’s iPhone,"November 10, 2024",8.4,0,1,"Partly Cloudy "
Connor ’s iPhone,"November 8, 2024",7.5,1,0,Sunny
Connor ’s iPhone,"November 7, 2024",7.8,1,0,"Partly Cloudy "
Connor ’s iPhone,"November 6, 2024",7.4,1,1,Partly Cloudy
Connor ’s iPhone,"November 5, 2024",7.7,0,1,"Partly Cloudy "
Connor ’s iPhone,"November 4, 2024",7.4,1,0,"Partly Cloudy "
Connor ’s iPhone,"November 3, 2024",8.4,1,0,Sunny
Connor ’s iPhone,"November 2, 2024",8.3,1,4,Sunny
Connor ’s iPhone,"November 1, 2024",8,1,0,Sunny
Connor ’s iPhone,"October 31, 2024",7.2,0,0,Partly Cloudy
Connor ’s iPhone,"October 30, 2024",7.6,1,2,Sunny
Connor ’s iPhone,"October 29, 2024",7.4,0,0,Partly Cloudy
Connor ’s iPhone,"October 28, 2024",7.2,1,2,Sunny
Connor ’s iPhone,"October 27, 2024",8.3,0,6,Sunny
Connor ’s iPhone,"October 26, 2024",8.5,0,7,Sunny
Connor ’s iPhone,"October 25, 2024",7.7,1,0,Sunny
Connor ’s iPhone,"October 24, 2024",7.5,0,0,Sunny
Connor ’s iPhone,"October 23, 2024",7.8,1,0,Sunny
Connor ’s iPhone,"October 22, 2024",7.8,1,2,Sunny
Connor ’s iPhone,"October 21, 2024",6.8,1,2,Sunny
Connor ’s iPhone,"October 20, 2024",7.8,0,4,Sunny
Connor ’s iPhone,"October 19, 2024",9,1,10,Sunny
Connor ’s iPhone,"October 18, 2024",8,1,1,Sunny
Connor ’s iPhone,"October 17, 2024",6.5,1,0,"Sunny "
Connor ’s iPhone,"October 16, 2024",8.1,1,1,Sunny
Connor ’s iPhone,"October 15, 2024",7.9,0,1,Partly Cloudy
Connor ’s iPhone,"October 14, 2024",7.4,0,0,Rainy
Connor ’s iPhone,"October 13, 2024",8.1,0,3,"Cloudy "
Connor ’s iPhone,"October 12, 2024",7.8,0,3,Sunny
Connor ’s iPhone,"October 11, 2024",7.6,0,0,Sunny
Connor ’s iPhone,"October 10, 2024",7.7,1,0,Sunny
Connor ’s iPhone,"October 9, 2024",8.5,1,3,Sunny
Connor ’s iPhone,"October 8, 2024",7.5,1,0,Sunny
Connor ’s iPhone,"October 7, 2024",7.2,1,0,Partly Cloudy
Connor ’s iPhone,"October 6, 2024",8.2,1,1,Sunny
Connor ’s iPhone,"October 5, 2024",7.9,1,3,Sunny
Connor ’s iPhone,"October 4, 2024",8,0,3,Sunny
Connor ’s iPhone,"October 3, 2024",7.8,1,0,Sunny
Connor ’s iPhone,"October 2, 2024",8.5,1,3,Partly Cloudy
Connor ’s iPhone,"October 1, 2024",8.3,0,0,Sunny
Connor ’s iPhone,"September 30, 2024",7.1,1,2,Cloudy
Connor ’s iPhone,"September 29, 2024",7.8,0,2,Cloudy
Connor ’s iPhone,"September 28, 2024",7.4,0,4,Sunny
Connor ’s iPhone,"September 27, 2024",7.1,1,0,Sunny
Connor ’s iPhone,"September 26, 2024",8,1,1,Rainy
Connor ’s iPhone,"September 25, 2024",7.9,1,1,Cloudy
Connor ’s iPhone,"September 24, 2024",8.5,1,1,Cloudy
Connor ’s iPhone,"September 23, 2024",7.6,0,0,Cloudy
Connor ’s iPhone,"September 22, 2024",7.7,0,1,Cloudy
Connor ’s iPhone,"September 21, 2024",7.9,0,1,Rainy
Connor ’s iPhone,"September 20, 2024",7.8,0,2,Cloudy
Connor ’s iPhone,"September 19, 2024",8.4,1,3,Sunny
Connor ’s iPhone,"September 18, 2024",7.5,1,0,Sunny
Connor ’s iPhone,"September 17, 2024",7.6,1,0,Sunny
Connor ’s iPhone,"September 16, 2024",7.7,1,0,Sunny
Connor ’s iPhone,"September 15, 2024",7.3,0,1,Sunny
Connor ’s iPhone,"September 14, 2024",7,1,5,Sunny
Connor ’s iPhone,"September 13, 2024",7.2,1,1,Sunny
Connor ’s iPhone,"September 12, 2024",7.6,0,0,Sunny
Connor ’s iPhone,"September 11, 2024",7.7,1,0,Sunny
Connor ’s iPhone,"September 10, 2024",7.3,1,1,Sunny
Connor ’s iPhone,"September 9, 2024",7.8,1,0,Partly Cloudy
Connor ’s iPhone,"September 8, 2024",7.6,0,1,Sunny
Connor ’s iPhone,"September 7, 2024",8.5,0,5,Sunny
Connor ’s iPhone,"September 6, 2024",6.5,0,0,Sunny
Connor ’s iPhone,"September 5, 2024",7.5,1,1,Sunny
Connor ’s iPhone,"September 4, 2024",7.8,1,1,Sunny
Connor ’s iPhone,"September 3, 2024",7.1,0,1,Sunny
Connor ’s iPhone,"September 2, 2024",8.1,1,3,Sunny
Connor ’s iPhone,"September 1, 2024",7.4,1,0,Sunny
Connor ’s iPhone,"August 31, 2024",7.6,0,1,Partly Cloudy
Connor ’s iPhone,"August 30, 2024",7,1,1,Sunny
Connor ’s iPhone,"August 29, 2024",7.3,1,0,Cloudy
Connor ’s iPhone,"August 28, 2024",7.5,1,0,Sunny
Connor ’s iPhone,"August 27, 2024",7.8,1,1,Sunny
Connor ’s iPhone,"August 26, 2024",7.4,1,0,Rainy
Connor ’s iPhone,"August 25, 2024",7.4,0,1,Sunny
Connor ’s iPhone,"August 24, 2024",7.7,1,0,Sunny
Connor ’s iPhone,"August 23, 2024",8.2,0,8,Sunny
Connor ’s iPhone,"August 22, 2024",8.7,1,8,Partly Cloudy
Connor ’s iPhone,"August 21, 2024",8.3,0,6,Rainy
Connor ’s iPhone,"August 20, 2024",7.6,1,0,Partly Cloudy
Connor ’s iPhone,"August 19, 2024",7.3,1,0,Rainy
Connor ’s iPhone,"August 18, 2024",6.9,0,0,Rainy
Connor ’s iPhone,"August 17, 2024",7,1,1,Partly Cloudy
Connor’s iPhone,"August 16, 2024",6.9,1,0,Sunny
Connor’s iPhone,"August 15, 2024",7.2,0,2,Sunny
Connor’s iPhone,"August 14, 2024",6.8,0,5,Sunny
Connor’s iPhone,"August 13, 2024",7.5,0,4,Sunny
Connor’s iPhone,"August 12, 2024",7.1,1,1,Partly Cloudy
Connor’s iPhone,"August 11, 2024",8.1,0,4,Sunny
Connor’s iPhone,"August 10, 2024",7.8,0,3,Sunny
Connor’s iPhone,"August 8, 2024",7.6,1,2,Rainy
Connor’s iPhone,"August 7, 2024",8.1,1,1,Cloudy
Connor’s iPhone,"August 6, 2024",7.9,1,2,Rainy
Connor’s iPhone,"August 5, 2024",7.6,0,2,Sunny
Connor’s iPhone,"August 4, 2024",8.1,0,1,Rainy
Connor’s iPhone,"August 3, 2024",6.8,0,0,Rainy
Connor’s iPhone,"August 2, 2024",7.8,0,5,Sunny
Connor’s iPhone,"August 1, 2024",7.4,0,3,Partly Cloudy
Connor’s iPhone,"July 31, 2024",8.2,1,3,Sunny
Connor’s iPhone,"July 30, 2024",8.1,1,3,Sunny
Connor’s iPhone,"July 29, 2024",6.8,0,2,Rainy
Connor’s iPhone,"July 28, 2024",7.3,0,4,Sunny
Connor’s iPhone,"July 27, 2024",7.9,0,5,Sunny
Connor’s iPhone,"July 26, 2024",9.2,0,2,Sunny
Connor’s iPhone,"July 25, 2024",8.5,1,1,Partly Cloudy
Connor’s iPhone,"July 24, 2024",7.9,1,2,Cloudy
Connor’s iPhone,"July 23, 2024",8.1,1,3,Cloudy
Connor’s iPhone,"July 22, 2024",7.4,0,2,Partly Cloudy
Connor’s iPhone,"July 21, 2024",6.2,0,0,Sunny
Connor’s iPhone,"July 20, 2024",7.2,1,3.5,Sunny
Connor’s iPhone,"July 19, 2024",8.5,0,3,Sunny
Connor’s iPhone,"July 18, 2024",10,0,7,Sunny
Connor’s iPhone,"July 17, 2024",8.3,1,1,Rainy
Connor’s iPhone,"July 16, 2024",6.9,1,0,Partly Cloudy
Connor’s iPhone,"July 15, 2024",7.2,1,1,Rainy
Connor’s iPhone,"July 14, 2024",7.4,0,3,Sunny
Connor’s iPhone,"July 13, 2024",7.5,1,1,Partly Cloudy
Connor’s iPhone,"July 12, 2024",8,0,1,Sunny
Connor’s iPhone,"July 11, 2024",7.9,0,1,Sunny
Connor’s iPhone,"July 10, 2024",7.1,0,0,Sunny
Connor’s iPhone,"July 9, 2024",6.9,0,0,Partly Cloudy
Connor’s iPhone,"July 8, 2024",6.8,0,4,Sunny
Connor’s iPhone,"July 7, 2024",8.5,0,5,Sunny
Connor’s iPhone,"July 6, 2024",7,1,2,Partly Cloudy
Connor’s iPhone,"July 5, 2024",6,1,3,Partly Cloudy
Connor’s iPhone,"July 4, 2024",8,0,6,Partly Cloudy
Connor’s iPhone,"July 3, 2024",7.2,0,3,Sunny
Connor’s iPhone,"July 2, 2024",6,0,0,Sunny
Connor’s iPhone,"July 1, 2024",8,0,4,Sunny
Connor’s iPhone,"June 30, 2024",7,0,1,Rainy
Connor’s iPhone,"June 29, 2024",6,0,0,Rainy
Connor’s iPhone,"June 28, 2024",7,0,2,Sunny
Connor’s iPhone,"June 27, 2024",8,1,1,Sunny
Connor’s iPhone,"June 26, 2024",7,1,0,Sunny
Connor’s iPhone,"June 25, 2024",7,0,1,Sunny
Connor’s iPhone,"June 24, 2024",7,1,0,Cloudy
Connor’s iPhone,"June 23, 2024",8,0,2,Partly Cloudy
Connor’s iPhone,"June 22, 2024",8,0,4,Cloudy
Connor’s iPhone,"June 21, 2024",8,0,0,Cloudy
Connor’s iPhone,"June 20, 2024",7,1,1,Sunny
Connor’s iPhone,"June 19, 2024",8,0,2,Sunny
Connor’s iPhone,"June 18, 2024",8,1,3,Sunny
Connor’s iPhone,"June 17, 2024",7,1,0,Partly Cloudy
Connor’s iPhone,"June 16, 2024",8,0,3,Sunny
Connor’s iPhone,"June 15, 2024",9,0,8,Sunny
Connor’s iPhone,"June 14, 2024",7,0,0,Rainy
Connor’s iPhone,"June 13, 2024",6,0,2,Sunny
Connor’s iPhone,"June 12, 2024",10,0,10,Partly cloudy
Connor’s iPhone,"June 11, 2024",9,0,5,Cloudy
Connor’s iPhone,"June 10, 2024",7,0,0,Sunny
Connor’s iPhone,"June 9, 2024",7,0,1,Partly Rainy
Connor’s iPhone,"June 8, 2024",8,1,4,Partly cloudy
Connor’s iPhone,"June 7, 2024",8,1,2,Partly Cloudy
Connor’s iPhone,"June 6, 2024",6,1,0,Overcast
Connor’s iPhone,"June 4, 2024",8,0,1,Sunny
Connor’s iPhone,"June 3, 2024",7,1,1,Sunny
Connor’s iPhone,"June 2, 2024",9,0,6,Sunny
Connor’s iPhone,"June 1, 2024",8,0,3,Sunny
Connor’s iPhone,"May 31, 2024",7,1,0,Sunny
,,,,,