Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
8.16337,48.93931,47.50813,582.5446,233.932,-2.848,2,2.02055,379.81 yds,0.4200798,-0.1949746,23.67632,4.13454,0.4631152,W3,59.14693,7.522,0,0,7.522,0,0,0,0,0,0,0.8032223
190.3798,202.432,122.3472,1971.371,-645.588,-1.482,15.523,32.22968,230.27 yds,66.23829,-26.34424,-19.116,190.4799,194.2814,W3,0,0,0,0,0,0,0,0,0,0,0,0
121.3661,161.6786,118.0679,1394.409,252.424,-5.429,6.555,10.07835,267.44 yds,13.47051,-7.849483,10.42952,121.3589,126.6824,DR,0,0,0,0,0,0,0,0,0,0,0,0
107.9062,148.0545,122.7431,1208.073,1058.845,-3.601,9.079,10.79799,281.3 yds,14.83921,5.055828,61.21991,107.8949,112.6302,DR,89.97196,-2.764,0,0,-2.764,0,0,0,0,0,0,1.364238
61.27241,113.0616,115.6878,760.5942,-605.306,-9.75,5.09,5.138408,319.75 yds,4.357536,-13.00131,-52.73402,61.14695,61.34737,DR,0,0,0,0,0,0,0,0,0,0,0,0
152.4007,160.2627,112.2273,4072.47,2208.344,1.441,15.127,34.28448,276.11 yds,56.11962,35.87071,32.83773,152.4267,151.9977,DR,0,0,0,0,0,0,0,0,0,0,0,0
128.329,134.7815,95.58891,4741.437,-415.905,2.932,30.617,51.60992,293.93 yds,103.0279,1.982343,-5.032287,128.4198,127.9072,DR,67.04556,-5.809,0,0,-5.809,0,0,0,0,0,0,1.425731
168.911,179.448,115.0727,4051.568,372.064,-3.113,15.205,39.31828,249.27 yds,71.99818,-2.434298,5.269015,168.9109,168.6604,H3,0,0,0,0,0,0,0,0,0,0,0,0
153.2867,159.4622,106.5902,3713.351,1450.654,8.047,21.708,43.00866,280.64 yds,82.57854,45.14799,22.99551,153.3526,153.442,H3,0,0,0,0,0,0,0,0,0,0,0,0
45.93487,95.15057,108.0912,466.4218,-320.812,-11.975,2,4.328816,337.53 yds,2.570203,-5.512789,-43.45741,24.66241,1.052695,H3,0,0,0,0,0,0,0,0,0,0,0,0
52.49258,97.5184,107.7691,1224.005,-833.547,-9.366,2,4.22234,334.45 yds,2.969566,-5.294505,-42.92181,28.36455,1.049432,H3,0,0,0,0,0,0,0,0,0,0,0,0
90.61372,130.637,115.7974,1658.809,-563.929,0.037,2,5.634957,298.39 yds,5.95948,-1.533189,-19.87445,56.39048,1.127515,H3,0,0,0,0,0,0,0,0,0,0,0,0
170.8481,181.4223,114.925,3700.394,-542.132,2.766,16.563,40.25228,247.32 yds,76.82431,-2.489243,-8.424532,170.9071,171.0665,H3,0,0,0,0,0,0,0,0,0,0,0,0
168.5758,180.9438,113.8983,3157.367,-1002.462,-0.091,16.734,37.28148,250.61 yds,70.45248,-21.50758,-18.51176,168.6926,169.9947,H3,0,0,0,0,0,0,0,0,0,0,0,0
171.207,185.121,112.9946,2635.423,-231.485,-2.866,16.332,35.58911,244.75 yds,67.33516,-14.18239,-5.039125,171.2859,173.4292,H3,0,0,0,0,0,0,0,0,0,0,0,0
157.0732,164.0587,107.4894,3247.202,1125.36,2.516,20.114,40.27814,269.09 yds,76.42616,27.99425,20.27724,157.2415,157.6532,H3,0,0,0,0,0,0,0,0,0,0,0,0
25.74973,72.64609,73.14571,1558.478,-203.002,-16.357,2,3.302395,359.8 yds,1.412819,-3.880904,-7.48442,13.62591,0.7108487,H3,0,0,0,0,0,0,0,0,0,0,0,0
164.0475,176.1531,110.4265,2825.785,-1076.451,4.179,19.359,38.63967,253.51 yds,74.97215,-11.72357,-22.39184,164.08,165.5998,H3,0,0,0,0,0,0,0,0,0,0,0,0
160.0263,170.3358,113.8043,3332.382,-1077.125,-8.366,12.582,30.33209,268.7 yds,50.09607,-42.30445,-18.85836,160.1973,160.5069,H3,0,0,0,0,0,0,0,0,0,0,0,0
152.3718,158.9984,104.1676,3205.335,780.932,6.305,21.387,42.05461,275.03 yds,78.37118,30.7479,14.10118,152.3461,152.8518,H3,0,0,0,0,0,0,0,0,0,0,0,0
134.1458,139.5673,99.11433,4512.695,2333.039,9.134,23.79,44.59673,302.66 yds,76.00865,47.47182,31.13087,134.2964,133.6511,H3,0,0,0,0,0,0,0,0,0,0,0,0
145.9818,158.6613,99.90174,2524.382,-126.174,5.879,20.514,37.56747,270.94 yds,66.04574,12.53418,-2.864959,146.1227,147.7657,H3,0,0,0,0,0,0,0,0,0,0,0,0
161.026,172.025,107.5208,2957.563,402.443,4.814,20.05,40.88779,259.44 yds,78.40306,21.90321,7.820643,161.0493,161.9908,H3,0,0,0,0,0,0,0,0,0,0,0,0
168.8401,180.1057,113.0482,2608.704,-949.759,-0.781,17.436,35.85899,252.33 yds,68.58624,-24.93299,-21.35055,168.9949,170.8856,H3,0,0,0,0,0,0,0,0,0,0,0,0
117.0458,123.4367,90.26948,4073.055,2178.316,10.503,22.553,39.13498,316.62 yds,56.40481,41.21738,32.33112,117.1676,116.445,H3,0,0,0,0,0,0,0,0,0,0,0,0
164.7094,176.9096,108.7802,2651.973,-449.678,2.932,19.646,38.86995,251.83 yds,76.67621,-2.012303,-9.762446,164.6813,166.6085,H3,0,0,0,0,0,0,0,0,0,0,0,0
133.3833,140.3077,95.96025,3389.431,1065.242,9.677,21.724,39.15086,296.57 yds,65.2261,36.68721,18.31756,133.5114,133.4161,H3,0,0,0,0,0,0,0,0,0,0,0,0
146.4441,158.634,101.2752,2908.963,-403.134,4.084,19.36,37.6009,270.11 yds,64.61555,3.310315,-7.965882,146.4852,147.4637,H3,0,0,0,0,0,0,0,0,0,0,0,0
97.62096,123.2272,95.61576,3024.661,-2772.197,0.534,16.077,21.99608,310.59 yds,26.5053,-19.67725,-66.42418,97.63263,98.38227,H3,0,0,0,0,0,0,0,0,0,0,0,0
121.5149,138.2597,106.9593,3777.81,-3040.32,-3.075,13.716,24.10195,300.9 yds,32.27841,-35.3958,-53.58938,121.5503,121.312,H3,0,0,0,0,0,0,0,0,0,0,0,0
126.8269,133.4235,94.46374,3861.748,1812.647,7.526,21.913,39.0027,303.87 yds,61.61385,36.79373,27.99439,126.8703,126.7948,H3,0,0,0,0,0,0,0,0,0,0,0,0
157.2264,168.0918,111.2564,4409.718,1013.845,-4.859,14.54,36.90983,260.64 yds,62.07986,1.824952,13.29186,157.38,156.7082,H3,0,0,0,0,0,0,0,0,0,0,0,0
105.2034,111.4082,84.0821,4359.668,2256.461,15.603,23.626,38.1041,331.27 yds,51.60336,44.02475,31.16981,105.2411,104.3553,H3,0,0,0,0,0,0,0,0,0,0,0,0
133.889,152.4588,101.8524,2681.824,-1601.376,3.28,16.85,29.57426,278.7 yds,45.32525,-16.52521,-36.66405,133.9229,135.6193,H3,0,0,0,0,0,0,0,0,0,0,0,0
175.8582,189.4737,114.7595,2499.576,-662.583,-1.046,17.733,36.61683,241.84 yds,74.17956,-20.72147,-15.37159,175.9013,178.5257,H3,0,0,0,0,0,0,0,0,0,0,0,0
117.6902,137.5529,96.96687,2712.132,-1967.697,0.985,17.157,27.09175,295.41 yds,37.69194,-21.00367,-46.51186,117.6975,118.8431,H3,0,0,0,0,0,0,0,0,0,0,0,0
107.0896,132.7126,90.81976,2366.824,-1533.116,3.982,16.811,25.68648,297.21 yds,32.29744,-9.073684,-40.37236,107.1738,109.1852,H3,0,0,0,0,0,0,0,0,0,0,0,0
131.6547,152.9554,115.3858,2840.093,-2288.754,-9.906,12.03,20.10583,296.46 yds,29.73439,-51.07269,-53.69465,131.8605,132.6295,H3,0,0,0,0,0,0,0,0,0,0,0,0
120.4753,141.6629,115.699,3908.484,-3026.08,-15.49,8.792,16.99964,314.15 yds,21.02068,-56.72636,-50.73561,120.4343,119.4444,H3,0,0,0,0,0,0,0,0,0,0,0,0
157.1832,166.9354,107.438,3608.003,765.866,1.142,19.937,42.2371,263.42 yds,79.36081,16.65703,12.25533,157.2023,157.5724,H3,0,0,0,0,0,0,0,0,0,0,0,0
173.5919,181.0896,117.936,3272.773,-1508.145,0.89,17.378,38.66425,252.7 yds,75.93366,-30.12808,-27.43975,173.6659,174.7973,H3,0,0,0,0,0,0,0,0,0,0,0,0
